시도,시군구,읍면동,상세주소,특수지명,블록,로트,건물명,동명,통계용도,대지면적(㎡),건축면적(㎡),연면적(㎡),지하층수(층),지상층수(층),허가일자,착공일자,사용승인일자,동용도
부산광역시,기장군,일광면 원리,산 12,,,,,,주거용 > 단독주택 > 단독주택,0,24.5,24.5,0,1,,,1939,단독주택
부산광역시,기장군,일광면 원리,산 14,,,,,,주거용 > 단독주택 > 단독주택,0,26.68,26.68,0,1,,,1960,단독주택
부산광역시,기장군,일광면 원리,산 18,,,,,,주거용 > 단독주택 > 단독주택,0,38.3,38.3,0,1,,,1936,단독주택
부산광역시,기장군,일광면 원리,산 35-4,,,,,,주거용 > 단독주택 > 단독주택,231.94,99.3,99.3,0,1,1994-12-03,1995-01-13,1995-02-28,단독주택
부산광역시,기장군,일광면 원리,산 99,,,,,,주거용 > 단독주택 > 단독주택,0,1590,1590,0,1,,,1980-05-31,단독주택
부산광역시,기장군,일광면 원리,산 131,,,,,,주거용 > 단독주택 > 단독주택,0,152.64,152.64,0,1,1987-05-26,,1989-10-05,단독주택
부산광역시,기장군,일광면 화전리,104-2,,,,,,주거용 > 단독주택 > 단독주택,245,77.19,77.19,0,1,1999-11-19,1999-11-25,2000-07-07,단독주택
부산광역시,기장군,일광면 화전리,108-2,,,,,1동,주거용 > 단독주택 > 단독주택,0,74.4,74.4,0,1,,,1949-02-28,단독주택
부산광역시,기장군,일광면 화전리,186,,,,,,주거용 > 단독주택 > 단독주택,330,142.2,142.2,0,1,2000-10-26,2000-11-08,2001-02-26,단독주택
부산광역시,기장군,일광면 화전리,195-1,,,,,,주거용 > 단독주택 > 단독주택,866,194.74,194.74,0,1,1992-07-13,1992-09-01,0993-01-11,단독주택
부산광역시,기장군,일광면 화전리,271-2,,,,,,주거용 > 단독주택 > 단독주택,0,72.63,72.63,0,1,,,1947-05-01,단독주택
부산광역시,기장군,일광면 화전리,273-1,,,,,,주거용 > 단독주택 > 단독주택,0,61.62,61.62,0,1,,,1953-12-21,단독주택
부산광역시,기장군,일광면 화전리,273-1,,,,,,주거용 > 단독주택 > 단독주택,693.56,131.07,131.07,0,1,1993-07-16,1993-09-01,,단독주택
부산광역시,기장군,일광면 화전리,273-2,,,,,,주거용 > 단독주택 > 단독주택,409.73,128.5,128.5,0,1,,,,단독주택
부산광역시,기장군,일광면 화전리,274-1,,,,,,주거용 > 단독주택 > 단독주택,0,43.7,43.7,0,1,,,1971-06-05,단독주택
부산광역시,기장군,일광면 화전리,278-2,,,,,,주거용 > 단독주택 > 단독주택,0,113.47,113.47,0,1,,,1991-01-12,단독주택
부산광역시,기장군,일광면 화전리,280-1,,,,,,주거용 > 단독주택 > 단독주택,0,63.21,63.21,0,1,,,1936-04-01,단독주택
부산광역시,기장군,일광면 화전리,283-2,,,,,,주거용 > 단독주택 > 단독주택,438.285,159.71,153.92,0,1,,,,단독주택
